model,type,file,BLEU-4,ROUGE-L,CIDEr,BERTScore
meta-llama/llama-4-scout-17b-16e-instruct,groq,groq_meta_llama_llama_4_scout_17b_16e_instruct_predictions.jsonl,0.025229649373960397,0.27574840691311114,0.00012480598393514524,0.8328763842582703
qwen/qwen3.6-27b,groq,groq_qwen_qwen3_6_27b_predictions.jsonl,0.01329627126762284,0.0758992284863786,0.0,0.7196556925773621
moondream:latest,local,local_moondream_latest_predictions.jsonl,0.01947157221018917,0.18946954949075837,0.14994920521402977,0.5547122359275818
qwen2.5vl:3b,local,local_qwen2_5vl_3b_predictions.jsonl,0.06853837118849065,0.2649539722850295,0.003962583976317583,0.8171058297157288
