model,type,file,JSON_Validity,Precision,Recall,F1,product_name_F1,subcategory_F1,material_F1,certifications_F1,intended_setting_F1,key_specs_F1
meta-llama/llama-4-scout-17b-16e-instruct,groq,groq_meta_llama_llama_4_scout_17b_16e_instruct_predictions.jsonl,1.0,0.32870370370370366,0.3611111111111111,0.33796296296296297,0.16666666666666666,0.6666666666666666,1.0,0.0,0.19444444444444442,0.0
qwen/qwen3.6-27b,groq,groq_qwen_qwen3_6_27b_predictions.jsonl,0.8333333333333334,0.2916666666666667,0.3194444444444444,0.30185185185185187,0.16666666666666666,0.5,0.6666666666666666,0.0,0.4777777777777778,0.0
moondream:latest,local,local_moondream_latest_predictions.jsonl,0.5,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
qwen2.5vl:3b,local,local_qwen2_5vl_3b_predictions.jsonl,1.0,0.3055555555555555,0.25462962962962965,0.2722222222222222,0.0,0.16666666666666666,0.3333333333333333,0.6333333333333333,0.5,0.0
